[2023-01-13 10:31:08,748: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:09,826: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:10,875: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:11,953: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:12,992: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:14,054: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:15,093: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:16,155: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:17,194: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:18,240: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:19,305: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:20,368: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:21,433: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:22,480: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:23,514: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:24,561: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:25,599: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:26,645: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:27,711: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:28,758: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:29,792: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:30,839: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:31,877: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:32,924: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:33,977: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:35,024: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:36,093: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:37,139: WARNING] Устройство с адресом 1 недоступно
